set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM130,Manectric,SM Black Star Promos,Celestial Storm Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,e9c86dd9-d5c7-44f0-b95e-11d135e26887,SM152,Tapu Lele,,SM152,Tapu Lele,SM Black Star Promos,Lost Thunder Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM152,Tapu Lele,SM Black Star Promos,Lost Thunder Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,3b12ada7-a6fc-4693-9436-d11978ccef76,SM161,Jirachi,,SM161,Jirachi,SM Black Star Promos,Team Up Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM161,Jirachi,SM Black Star Promos,Team Up Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,7e09e7c5-f632-486e-a840-680cceead27d,SM176,Eevee-GX,,SM176,Eevee GX,SM Black Star Promos,Jolteon-GX Special Collection,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM176,Eevee GX,SM Black Star Promos,Eevee-GX Box},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,956ff119-c1f8-4b48-84ce-77c61084fcc3,SM179,Volcanion,,SM179,Volcanion,SM Black Star Promos,Unbroken Bonds Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM179,Volcanion,SM Black Star Promos,Unbroken Bonds Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,d029852c-30fa-4668-af29-415f5353fb28,SM159,Zapdos,,SM159,Zapdos,SM Black Star Promos,Team Up Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM159,Zapdos,SM Black Star Promos,Team Up Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,d2fe4da2-5c45-48b7-8c60-ca2d5121cb8b,SM171,Flareon-GX,,SM171,Flareon GX,SM Black Star Promos,,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM171,Flareon GX,SM Black Star Promos,},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,79d8bd83-7b3e-4ced-b08b-686b86493a14,SM203,Tapu Fini,,SM203,Tapu Fini,SM Black Star Promos,Unified Minds Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM203,Tapu Fini,SM Black Star Promos,Unified Minds Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,c9664451-32b9-46b5-b47b-03472bb97385,SM182,Persian,,SM182,Persian,SM Black Star Promos,Unbroken Bonds Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM182,Persian,SM Black Star Promos,Unbroken Bonds Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,6521d2df-dd84-4cb0-b9bf-4b20a30a1424,SM202,Amoonguss,,SM202,Amoonguss,SM Black Star Promos,Unified Minds Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM202,Amoonguss,SM Black Star Promos,Unified Minds Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,8236e033-e713-49ad-87ef-9354b87da704,SM48,Zygarde,,SM48,Zygarde,SM Black Star Promos,Burning Shadows Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,,,,,SM48,Zygarde,SM Black Star Promos,Burning Shadows Prerelease staff promo},missing_db_variant_for_existing_canonical_identity
smp,SM Black Star Promos,PR-SM,SM Black Star Promos,https://bulbapedia.bulbagarden.net/wiki/SM_Black_Star_Promos_%28TCG%29,f3702d1d-6f40-4892-baf6-5218806f784c,SM117,Malamar,,SM117,Malamar,SM Black Star Promos,Forbidden Light Prerelease participation promo,canonical_identity_present_but_variant_cardinality_or_lane_differs
