set_code,set_name,printed_set_abbrev,page_base,page_url,db_card_print_id,db_number,db_name,db_variant_key,db_set_code_other,db_set_name_other,bulba_number,bulba_name,bulba_lane,bulba_notes,reason
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,f6f6d3dd-4a7a-4f4a-99f7-a10d8e75bfcc,9,Alolan Diglett,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,a5aebeac-aab4-457f-9d06-2e53b2fc4f8f,6,Cosmog,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,f6686a32-afa8-4724-9673-ff55050da8db,3,Litten,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,44d31c4d-11a0-4948-91c9-352b53cf97ff,5,Pikachu,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,7a5c938d-a1f1-48c9-9181-80143b642695,10,Cutiefly,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2017sm,Macdonald's Collection 2017,MCD,McDonald's Collection 2017,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2017_%28TCG%29,47c5a9ab-697f-4727-a40d-00090337ae10,12,Yungoos,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,b1098023-2052-452f-ba9f-0b161ff45721,5,Slowpoke,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,ce7ed078-0ac3-40e6-ad7f-dbdd0d122117,6,Machop,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,79dace2c-26d2-4584-9a98-bf397c086002,7,Cubone,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
2018sm,Macdonald's Collection 2018,MCD,McDonald's Collection 2018,https://bulbapedia.bulbagarden.net/wiki/McDonald's_Collection_2018_%28TCG%29,73967db1-db63-44f5-8ed2-5c0cdad3b338,11,Eevee,,,,,,,,multiple_db_sets_map_to_same_bulbapedia_page_lane
