set_code,set_name,printed_set_abbrev,db_card_print_id,db_number,db_name,db_variant_key,classification,reason
tk-ex-latio,EX trainer Kit (Latios),TK,284c66ce-e844-464a-b5fe-54489103bca5,3,Linoone,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,5757b403-2fb2-45b1-9b14-b30340560691,4,Magnemite,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,873f9501-a49b-4df4-90dc-1b21cb7a08df,5,Magneton,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,a9b48a66-712b-44da-9db4-a6a3feba1253,6,Pikachu,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,72039ffe-f240-49d3-8b90-92e0ce22da58,7,Zigzagoon,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,b6badd38-54b4-486b-be65-124f67783829,8,Potion,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-latio,EX trainer Kit (Latios),TK,e9e7645d-ccdc-4585-b068-debbc8e4089a,9,Energy Search,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,32014b91-94d9-403c-b3ba-3b381b96beee,11,Fire Energy,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,b7ecd939-ad1a-4375-a438-fe47cc656d1e,1,Arcanine,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,05876e44-866b-4a13-b1aa-1ebe0a6eb7f0,10,Potion,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,f9d01ef8-5113-4f4e-a78b-f61d3821fdcf,2,Charmander,,not_listed_on_bulbapedia_index,no_index_match
tk-ex-m,EX trainer Kit 2 (Minun),TK,7a7bb75d-3584-4cf4-81f3-e0ce19fde998,3,Charmeleon,,not_listed_on_bulbapedia_index,no_index_match
