"table","id","name","number","set_code","tried_1","tried_2","tried_3"
"card_prints","9b6bf17f-80fd-4b1d-b23f-2eda0a9b6524","Treecko","1","ex5.5","https://assets.tcgdex.net/en/ex/ex5.5/1/high.png","https://assets.tcgdex.net/en/ex/ex5.5/1/low.png","https://assets.tcgdex.net/en/ex/ex5.5/1/high.webp"
"card_prints","d9eaf708-64c0-49fa-8668-ff14a661c909","Wurmple","2","ex5.5","https://assets.tcgdex.net/en/ex/ex5.5/2/high.png","https://assets.tcgdex.net/en/ex/ex5.5/2/low.png","https://assets.tcgdex.net/en/ex/ex5.5/2/high.webp"
"card_prints","84668fb2-3ed1-4a35-ad29-35515acc4bb5","Torchic","3","ex5.5","https://assets.tcgdex.net/en/ex/ex5.5/3/high.png","https://assets.tcgdex.net/en/ex/ex5.5/3/low.png","https://assets.tcgdex.net/en/ex/ex5.5/3/high.webp"
"card_prints","bca4ca25-5575-4576-867f-dca03bfeaa3c","Mudkip","4","ex5.5","https://assets.tcgdex.net/en/ex/ex5.5/4/high.png","https://assets.tcgdex.net/en/ex/ex5.5/4/low.png","https://assets.tcgdex.net/en/ex/ex5.5/4/high.webp"
"card_prints","94d52975-09e9-405b-a331-eb77b74191e0","Pikachu","5","ex5.5","https://assets.tcgdex.net/en/ex/ex5.5/5/high.png","https://assets.tcgdex.net/en/ex/ex5.5/5/low.png","https://assets.tcgdex.net/en/ex/ex5.5/5/high.webp"
"card_prints","51debbdd-7ff6-4ed8-9e7d-93540010bdca","Unown","!","exu","https://assets.tcgdex.net/en/exu/exu/!/high.png","https://assets.tcgdex.net/en/exu/exu/!/low.png","https://assets.tcgdex.net/en/exu/exu/!/high.webp"
"card_prints","18db069f-33fd-4c98-9437-b0c6e2a187db","Unown","%3F","exu","https://assets.tcgdex.net/en/exu/exu/%3F/high.png","https://assets.tcgdex.net/en/exu/exu/%3F/low.png","https://assets.tcgdex.net/en/exu/exu/%3F/high.webp"
"card_prints","e2a8ff9f-a65f-45ff-8c6c-a3609428cc44","Unown","A","exu","https://assets.tcgdex.net/en/exu/exu/A/high.png","https://assets.tcgdex.net/en/exu/exu/A/low.png","https://assets.tcgdex.net/en/exu/exu/A/high.webp"
"card_prints","7de47caf-74b9-4c0a-9319-11e10e10f8e8","Unown","B","exu","https://assets.tcgdex.net/en/exu/exu/B/high.png","https://assets.tcgdex.net/en/exu/exu/B/low.png","https://assets.tcgdex.net/en/exu/exu/B/high.webp"
"card_prints","afa2c5cb-3f7c-461a-bc26-ce1b4d9f1718","Unown","C","exu","https://assets.tcgdex.net/en/exu/exu/C/high.png","https://assets.tcgdex.net/en/exu/exu/C/low.png","https://assets.tcgdex.net/en/exu/exu/C/high.webp"
"card_prints","0f084043-aac2-4689-a66e-f6a25ce62475","Unown","D","exu","https://assets.tcgdex.net/en/exu/exu/D/high.png","https://assets.tcgdex.net/en/exu/exu/D/low.png","https://assets.tcgdex.net/en/exu/exu/D/high.webp"
"card_prints","5cb4c389-d878-47b1-83bf-221eeb6e7b28","Unown","E","exu","https://assets.tcgdex.net/en/exu/exu/E/high.png","https://assets.tcgdex.net/en/exu/exu/E/low.png","https://assets.tcgdex.net/en/exu/exu/E/high.webp"
"card_prints","bb711240-df45-4a2c-866e-e86f053e8a98","Unown","F","exu","https://assets.tcgdex.net/en/exu/exu/F/high.png","https://assets.tcgdex.net/en/exu/exu/F/low.png","https://assets.tcgdex.net/en/exu/exu/F/high.webp"
"card_prints","63a95c2d-0ef9-4f80-a145-f9e5abfa0085","Unown","G","exu","https://assets.tcgdex.net/en/exu/exu/G/high.png","https://assets.tcgdex.net/en/exu/exu/G/low.png","https://assets.tcgdex.net/en/exu/exu/G/high.webp"
"card_prints","b476e561-e043-42b8-bfd0-5f8ea854e181","Unown","H","exu","https://assets.tcgdex.net/en/exu/exu/H/high.png","https://assets.tcgdex.net/en/exu/exu/H/low.png","https://assets.tcgdex.net/en/exu/exu/H/high.webp"
"card_prints","97c73cab-c2a5-4b8d-ae22-907b3d1d0a22","Unown","I","exu","https://assets.tcgdex.net/en/exu/exu/I/high.png","https://assets.tcgdex.net/en/exu/exu/I/low.png","https://assets.tcgdex.net/en/exu/exu/I/high.webp"
"card_prints","33d27aba-6ee7-448d-9694-27ccb6657602","Unown","J","exu","https://assets.tcgdex.net/en/exu/exu/J/high.png","https://assets.tcgdex.net/en/exu/exu/J/low.png","https://assets.tcgdex.net/en/exu/exu/J/high.webp"
"card_prints","b00cbad9-37e5-49fe-b093-aea5e922951b","Unown","K","exu","https://assets.tcgdex.net/en/exu/exu/K/high.png","https://assets.tcgdex.net/en/exu/exu/K/low.png","https://assets.tcgdex.net/en/exu/exu/K/high.webp"
"card_prints","88469e83-25a0-4b76-8f44-bd95cad7ceba","Unown","L","exu","https://assets.tcgdex.net/en/exu/exu/L/high.png","https://assets.tcgdex.net/en/exu/exu/L/low.png","https://assets.tcgdex.net/en/exu/exu/L/high.webp"
